#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-08-05T12:27:17
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml771

#RESOURCE=8004   
#Name: VIII/4   
#Title:	Fourth Cambridge Survey (4C) (Pilkington+ 1965; Gower+ 1967)   
#Table	VIII_4_radio4c:      
#Name: VIII/4/radio4c     
#Title:	Fourth Cambridge Radio Survey Data          
#Coosys	B1950:	eq_FK4 1950           
#Column	_RAJ2000	(A10)	       Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	_DEJ2000	(A8)	       Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)          
#Column	4C	(A8)	       The 4C number        (link)          
#Column	FluxDen	(F7)	       Flux density (1.0E-26 W/m2/Hz) at 178 MHz          
#Column	ErrClas1	(I2)	       Position and flux error class (in number)          
#Column	GLON	(F5)	       Galactic longitude, System II.          
#Column	GLAT	(F5)	       Galactic latitude, System II.          
#Column	ErrClas2	(A3)	       Position & flux error class (character form)          
#Column	com	(A8)	       Remarks          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

_RAJ2000	_DEJ2000	4C	FluxDen	ErrClas1	GLON	GLAT	ErrClas2	com	recno
02 20 47.5	+11 20.9	+11.10  	    7.0	 1	155.3	-45.8	a  	        	    1401
02 36 47.8	+11 53.4	+11.11  	    2.0	 2	159.6	-43.4	b  	        	    1402
02 58 19.8	+11 39.3	+11.12  	    2.2	 1	165.6	-40.5	a  	        	    1403
03 19 05.0	+11 39.2	+11.13  	    2.0	 2	170.5	-37.2	b  	        	    1404
03 23 20.1	+12 06.0	+11.14  	    3.3	 1	171.1	-36.2	a  	        	    1405
03 27 22.7	+12 08.6	+11.15  	    5.6	 1	172.0	-35.5	a  	        	    1406
03 33 12.8	+11 24.2	+11.16  	    3.3	 2	173.9	-35.0	b  	        	    1407
03 46 52.4	+12 08.6	+11.17  	    2.3	 1	176.0	-32.1	a  	        	    1408
04 13 40.5	+11 13.4	+11.18  	   20.4	 1	181.8	-27.8	a  	3C109   	    1409
04 40 11.0	+11 34.2	+11.19  	    3.0	 2	185.9	-22.4	b  	        	    1410
05 26 15.8	+11 42.3	+11.20  	    5.5	 1	192.3	-12.9	a  	        	    1411
05 46 08.6	+11 47.9	+11.21  	    2.1	 1	194.8	 -8.7	a  	        	    1412
06 16 24.1	+11 53.2	+11.22  	    4.3	 1	198.4	 -2.2	a  	        	    1413
06 33 41.2	+11 40.3	+11.23  	    4.7	 1	200.5	  1.4	a  	        	    1414
06 56 42.3	+11 51.4	+11.24  	    2.5	 1	202.9	  6.5	a  	        	    1415
07 08 19.8	+11 29.9	+11.25  	    3.5	 1	204.5	  8.9	a  	        	    1416
07 13 03.1	+11 44.5	+11.26  	   17.2	 1	204.8	 10.1	a  	3C175   	    1417
07 47 54.6	+11 44.5	+11.27  	    2.6	 1	208.6	 17.8	a  	        	    1418
08 33 20.4	+11 28.9	+11.28  	    5.0	 1	213.9	 27.8	a  	        	    1419
08 35 13.6	+11 20.6	+11.29  	    2.1	21	214.3	 28.1	be 	        	    1420
08 43 43.0	+11 18.4	+11.30  	    2.7	 1	215.3	 30.0	a  	        	    1421
09 06 04.5	+11 02.3	+11.31  	    3.8	 1	218.4	 34.9	a  	        	    1422
09 28 43.6	+11 33.1	+11.32  	    3.0	 1	220.8	 40.1	a  	        	    1423
10 01 27.6	+11 11.7	+11.33  	    2.9	21	226.3	 47.1	be 	        	    1424
10 14 15.8	+10 49.7	+11.34  	    2.7	 1	229.0	 49.7	a  	        	    1425
10 34 05.3	+11 12.3	+11.35  	    5.4	 1	232.5	 54.0	a  	        	    1426
10 44 43.9	+10 51.6	+11.36  	    2.1	 1	235.4	 56.1	a  	        	    1427
10 58 25.3	+11 01.9	+11.37  	    2.2	 1	238.7	 59.0	a  	        	    1428
11 04 04.7	+11 10.3	+11.38  	    3.6	22	240.0	 60.2	bl 	        	    1429
11 14 32.6	+10 53.3	+11.39  	    3.9	 1	243.7	 62.0	a  	        	    1430
11 53 03.2	+11 07.3	+11.40  	    4.8	 1	259.5	 68.9	a  	        	    1431
11 59 29.5	+10 45.0	+11.41  	    3.6	 1	263.7	 69.6	a  	        	    1432
12 04 26.3	+11 25.5	+11.42  	    2.0	22	265.6	 70.8	bl 	        	    1433
12 48 20.0	+11 14.7	+11.43  	    2.2	 1	300.2	 74.1	a  	        	    1434
13 03 57.7	+11 26.0	+11.44  	    2.6	 1	314.2	 74.0	a  	        	    1435
13 21 19.2	+11 04.3	+11.45  	    8.1	 1	328.0	 72.5	a  	        	    1436
13 52 57.0	+11 06.4	+11.46  	    3.4	 1	348.0	 68.4	a  	        	    1437
14 57 57.6	+11 39.7	+11.47  	    2.7	 1	 11.6	 56.5	a  	        	    1438
15 18 32.9	+11 12.5	+11.48  	    2.1	 2	 15.4	 52.0	b  	        	    1439
15 23 57.4	+10 59.1	+11.49  	    4.0	 1	 16.2	 50.7	a  	        	    1440
15 50 44.4	+11 20.3	+11.50  	    3.9	 1	 21.3	 45.1	a  	        	    1441
15 59 15.2	+11 18.3	+11.51  	    3.2	 2	 22.6	 43.2	b  	        	    1442
16 04 06.3	+11 22.5	+11.52  	    3.4	 1	 23.4	 42.2	a  	        	    1443
16 45 54.5	+11 29.6	+11.53  	    2.5	 2	 29.1	 33.0	b  	        	    1444
18 05 06.5	+11 00.4	+11.54  	   14.0	 1	 37.7	 15.2	a  	3C368   	    1445
19 03 21.8	+11 24.8	+11.55  	    2.9	 1	 44.4	  2.6	a  	        	    1446
19 06 33.6	+11 55.6	+11.56  	    4.0	 1	 45.3	  2.1	a  	        	    1447
19 10 06.1	+11 50.0	+11.57  	    3.0	 1	 45.6	  1.3	a  	        	    1448
19 38 28.9	+11 08.7	+11.58  	    3.2	 1	 48.3	 -5.2	a  	        	    1449
19 52 12.4	+11 37.3	+11.59  	    2.4	 2	 50.3	 -7.9	b  	        	    1450
20 06 51.1	+11 57.9	+11.60  	    5.3	 1	 52.5	-10.8	a  	        	    1451
20 09 36.6	+12 05.0	+11.61  	    2.0	 1	 52.9	-11.3	a  	        	    1452
20 17 14.1	+11 45.0	+11.62  	    2.4	 1	 53.6	-13.0	a  	        	    1453
20 21 30.1	+11 29.9	+11.63  	    3.0	 1	 54.0	-14.1	a  	        	    1454
20 25 22.0	+12 04.9	+11.64  	    3.3	 1	 55.0	-14.6	a  	        	    1455
21 00 13.8	+12 09.3	+11.65  	    2.3	 2	 60.1	-21.6	b  	        	    1456
21 38 25.9	+11 56.8	+11.66  	    3.7	 1	 66.3	-29.0	a  	        	    1457
22 03 45.4	+12 13.5	+11.67  	    2.0	 1	 71.5	-33.4	a  	        	    1458
22 29 59.2	+11 30.9	+11.68  	    2.2	 1	 76.6	-38.3	a  	        	    1459
22 32 36.6	+11 44.5	+11.69  	    5.5	 1	 77.4	-38.6	a  	        	    1460
22 41 34.5	+11 45.9	+11.70  	    3.8	 1	 79.7	-40.0	a  	        	    1461
22 49 53.6	+11 44.3	+11.71  	    5.8	22	 81.8	-41.2	bl 	        	    1462
22 54 10.3	+11 34.9	+11.72  	    6.7	 1	 82.8	-42.0	a  	        	    1463
23 48 00.9	+12 03.4	+11.73  	    2.4	 2	 99.4	-47.9	b  	        	    1464
00 03 41.1	+13 04.7	+12.01  	    7.4	 1	105.4	-48.2	a  	        	    1465
00 05 25.0	+12 52.3	+12.02  	    2.0	22	105.9	-48.5	bl 	        	    1466
00 09 52.2	+12 43.2	+12.03  	    7.6	 1	107.4	-48.9	a  	        	    1467
00 27 08.4	+12 59.3	+12.04  	    4.0	 2	113.8	-49.5	b  	        	    1468
00 38 18.4	+12 32.8	+12.05  	    5.5	21	117.9	-50.2	be 	        	    1469
00 42 43.0	+12 48.1	+12.06  	    3.9	 1	119.6	-50.0	a  	        	    1470
00 53 36.4	+13 09.0	+12.07  	    4.2	 1	123.7	-49.7	a  	        	    1471
01 31 30.4	+12 38.4	+12.08  	    2.0	 1	137.9	-49.1	a  	        	    1472
01 59 09.8	+12 44.8	+12.09  	    2.8	 2	147.5	-46.9	b  	        	    1473
02 03 35.9	+13 12.1	+12.10  	    3.5	 1	148.7	-46.0	a  	        	    1474
02 13 43.5	+12 15.8	+12.11  	    3.1	 1	152.5	-45.8	a  	        	    1475
02 28 54.7	+13 05.1	+12.12  	    2.2	 1	156.5	-43.3	a  	        	    1476
02 42 49.6	+13 09.9	+12.13  	    2.2	 1	160.3	-41.5	a  	        	    1477
03 29 50.0	+12 48.5	+12.14  	    2.1	 1	172.0	-34.6	a  	        	    1478
03 36 26.4	+13 02.8	+12.15  	    6.4	 1	173.1	-33.3	a  	        	    1479
03 51 23.0	+12 41.2	+12.16  	    3.6	 1	176.4	-30.9	a  	        	    1480
03 55 45.3	+12 46.1	+12.17  	    6.6	22	177.2	-30.1	bl 	        	    1481
04 03 41.0	+13 03.8	+12.18  	    2.7	 2	178.4	-28.4	b  	        	    1482
04 08 35.7	+12 38.5	+12.19  	    2.9	 1	179.7	-27.8	a  	        	    1483
04 46 37.8	+12 58.9	+12.20  	    2.3	22	185.6	-20.3	bl 	        	    1484
04 48 51.3	+12 34.8	+12.21  	    2.4	 2	186.3	-20.1	b  	        	    1485
05 04 48.0	+12 36.5	+12.22  	    3.3	 2	188.6	-16.9	b  	        	    1486
05 14 11.4	+12 24.7	+12.23  	    2.5	21	190.1	-15.1	be 	        	    1487
05 28 14.5	+13 01.6	+12.24  	    2.1	 1	191.5	-11.8	a  	        	    1488
05 55 33.2	+12 30.4	+12.25  	    2.7	 1	195.3	 -6.4	a  	        	    1489
05 56 52.2	+12 32.8	+12.26  	    3.4	 1	195.5	 -6.1	a  	        	    1490
06 40 53.0	+11 59.8	+12.27  	    2.4	 1	201.1	  3.1	a  	        	    1491
06 44 28.2	+12 28.4	+12.28  	    2.0	 2	201.0	  4.1	b  	        	    1492
07 24 19.7	+12 43.3	+12.29  	    6.5	 1	205.1	 13.0	a  	        	    1493
07 28 33.7	+12 09.6	+12.30  	    6.2	 1	206.1	 13.7	a  	        	    1494
07 45 28.9	+12 06.8	+12.31  	    4.0	 1	208.0	 17.4	a  	        	    1495
08 55 23.1	+12 16.3	+12.32  	    3.0	 1	215.7	 33.0	a  	        	    1496
09 04 28.7	+12 32.3	+12.33  	    2.4	21	216.5	 35.1	be 	        	    1497
09 18 08.3	+12 22.2	+12.34  	    2.3	 2	218.4	 38.1	b  	        	    1498
09 45 50.2	+12 04.8	+12.35  	    2.1	 1	222.6	 44.1	a  	        	    1499
09 50 48.1	+12 25.5	+12.36  	    2.6	 2	223.0	 45.3	b  	*       	    1500
10 42 44.8	+12 01.5	+12.37  	   12.5	 1	233.2	 56.3	a  	3C245   	    1501
11 07 19.9	+12 41.3	+12.38  	    3.8	 1	238.4	 61.7	a  	        	    1502
11 18 56.8	+12 34.3	+12.39  	    4.4	 1	242.3	 63.9	a  	        	    1503
11 21 31.0	+12 36.2	+12.40  	    2.1	 2	243.1	 64.4	b  	*       	    1504
11 26 24.7	+12 18.9	+12.41  	    6.2	 1	245.4	 65.2	a  	*       	    1505
11 40 27.7	+12 01.1	+12.42  	    5.5	 1	251.7	 67.5	a  	        	    1506
12 00 53.7	+12 05.7	+12.43  	    2.7	 1	262.2	 70.9	a  	        	    1507
12 02 09.6	+12 41.6	+12.44  	    2.9	 1	261.9	 71.5	a  	        	    1508
12 30 49.8	+12 23.5	+12.45  	 1050.0	15	283.8	 74.5	a  	3C274*  	    1509
13 08 58.2	+11 59.8	+12.46  	    2.1	22	319.0	 74.3	bl 	        	    1510
13 10 52.7	+11 48.1	+12.47  	    2.6	21	320.5	 74.0	be 	        	    1511
13 27 51.9	+12 16.6	+12.48  	    2.3	 1	334.6	 72.9	a  	        	    1512
13 41 59.8	+11 55.3	+12.49  	    2.3	 1	343.3	 70.7	a  	        	    1513
13 47 33.3	+12 16.1	+12.50  	    4.6	 1	347.2	 70.2	a  	        	    1514
14 01 49.8	+12 21.6	+12.51  	    2.0	 2	354.5	 67.9	b  	        	    1515
14 03 33.1	+11 57.5	+12.52  	    2.3	 1	354.6	 67.3	a  	        	    1516
14 45 30.4	+12 18.4	+12.53  	    2.1	22	  9.5	 59.5	bl 	        	    1517
15 07 41.7	+12 05.2	+12.54  	    2.9	 1	 14.5	 54.7	a  	        	    1518
15 27 32.2	+11 54.4	+12.55  	    2.3	 1	 18.1	 50.4	a  	        	    1519
15 59 07.2	+12 04.7	+12.56  	    3.9	 2	 23.5	 43.6	b  	        	    1520
16 23 03.0	+12 44.0	+12.57  	    3.3	 2	 27.6	 38.6	b  	        	    1521
16 25 44.4	+12 18.8	+12.58  	    2.0	 1	 27.5	 37.8	a  	        	    1522
16 31 45.8	+11 54.3	+12.59  	    4.4	 1	 27.8	 36.3	a  	        	    1523
16 40 48.7	+12 29.5	+12.60  	    3.4	 2	 29.6	 34.6	b  	        	    1524
17 35 50.2	+12 30.3	+12.61  	    2.3	 2	 35.9	 22.3	b  	        	    1525
18 20 40.0	+12 37.4	+12.62  	    3.6	 1	 40.9	 12.5	a  	        	    1526
18 22 41.3	+12 08.7	+12.63  	    2.6	 2	 40.7	 11.8	b  	        	    1527
18 24 30.6	+12 49.1	+12.64  	    2.5	 1	 41.5	 11.7	a  	        	    1528
18 44 06.5	+12 54.5	+12.65  	    2.2	 1	 43.7	  7.4	a  	        	    1529
18 49 41.6	+12 35.7	+12.66  	    3.5	 1	 44.0	  6.1	a  	        	    1530
18 59 22.7	+12 57.5	+12.67  	   15.9	 1	 45.4	  4.1	a  	3C394   	    1531
19 23 24.4	+13 05.2	+12.68  	    4.3	 1	 48.2	 -1.0	a  	        	    1532
19 45 18.3	+12 47.7	+12.69  	    2.2	 1	 50.5	 -5.8	a  	        	    1533
19 50 39.6	+12 55.3	+12.70  	    5.0	 1	 51.3	 -6.9	a  	        	    1534
20 51 57.2	+12 57.4	+12.71  	    2.9	 1	 59.6	-19.5	a  	        	    1535
21 06 12.0	+12 34.3	+12.72  	    4.4	 1	 61.4	-22.5	a  	        	    1536
21 32 53.4	+12 57.4	+12.73  	    4.6	 1	 66.2	-27.4	a  	        	    1537
21 51 03.0	+12 18.6	+12.74  	    5.8	 1	 69.0	-31.1	a  	        	    1538
21 53 37.8	+12 32.6	+12.75  	    2.7	 1	 69.7	-31.4	a  	        	    1539
21 55 42.0	+12 31.5	+12.76  	    4.4	 1	 70.1	-31.8	a  	        	    1540
22 20 05.0	+13 05.0	+12.77  	    3.9	 1	 75.7	-35.5	a  	        	    1541
22 26 32.4	+12 45.9	+12.78  	    2.0	21	 76.9	-36.8	be 	        	    1542
22 55 03.2	+13 09.5	+12.79  	   11.7	 1	 84.2	-40.8	a  	3C455   	    1543
22 59 39.4	+12 38.9	+12.80  	    2.0	 1	 85.1	-41.9	a  	        	    1544
23 12 10.4	+12 26.8	+12.81  	    2.4	 1	 88.4	-43.7	a  	        	    1545
23 15 41.0	+12 41.6	+12.82  	    2.9	 1	 89.6	-43.9	a  	        	    1546
23 20 07.1	+12 18.0	+12.83  	    2.8	 1	 90.7	-44.8	a  	        	    1547
00 14 52.2	+13 55.0	+13.01  	    4.3	 1	109.6	-48.0	a  	        	    1548
00 16 24.6	+13 33.6	+13.02  	    2.8	 1	110.0	-48.4	a  	        	    1549
00 26 59.4	+13 53.2	+13.03  	    2.9	 1	113.9	-48.6	a  	        	    1550
00 35 11.5	+13 24.2	+13.04  	    2.2	22	116.9	-49.3	bl 	        	    1551
00 37 44.2	+13 20.3	+13.05  	   10.5	 1	117.8	-49.4	a  	3C16    	    1552
00 45 23.1	+13 38.6	+13.06  	    4.7	 1	120.7	-49.2	a  	        	    1553
01 08 52.1	+13 20.5	+13.07  	   53.0	15	129.4	-49.3	a  	3C33*   	    1554
01 26 14.5	+14 15.1	+13.08  	    3.9	 1	135.5	-47.8	a  	        	    1555
01 35 03.3	+13 29.9	+13.09  	    2.6	 1	138.9	-48.0	a  	        	    1556
01 41 08.6	+13 54.1	+13.10  	    9.7	 1	140.8	-47.2	a  	3C49    	    1557
01 56 08.6	+13 56.7	+13.11  	    3.2	 1	145.9	-46.0	a  	        	    1558
02 01 30.7	+13 42.4	+13.12  	    2.3	 1	147.7	-45.8	a  	        	    1559
02 14 54.8	+13 59.5	+13.13  	    3.1	 1	151.7	-44.2	a  	        	    1560
02 31 46.2	+13 21.6	+13.14  	    2.3	 1	157.1	-42.8	a  	        	    1561
02 33 59.7	+13 28.3	+13.15  	    2.8	 1	157.7	-42.4	a  	        	    1562
02 36 23.2	+14 06.3	+13.16  	    2.0	 1	157.9	-41.5	a  	        	    1563
02 59 38.2	+13 53.3	+13.17  	    3.9	 1	164.1	-38.5	a  	        	    1564
03 18 57.0	+13 17.3	+13.18  	    2.8	 1	169.2	-36.0	a  	        	    1565
03 30 47.3	+14 06.5	+13.19  	    2.1	 1	171.1	-33.5	a  	        	    1566
03 45 02.6	+13 33.7	+13.20  	    2.1	 2	174.5	-31.4	b  	        	    1567
03 50 02.5	+13 26.0	+13.21  	    3.6	 1	175.6	-30.7	a  	        	    1568
04 18 04.5	+13 30.8	+13.22  	    2.2	 1	180.6	-25.5	a  	        	    1569
04 28 38.9	+14 03.4	+13.23  	    2.3	 1	181.9	-23.1	a  	        	    1570
04 38 45.0	+13 16.9	+13.24  	    2.1	 1	184.2	-21.7	a  	        	    1571
04 48 38.7	+13 17.9	+13.25  	    2.9	 2	185.7	-19.7	b  	        	    1572
04 51 59.1	+14 02.5	+13.26  	    2.3	21	185.5	-18.6	be 	        	    1573
04 55 48.8	+14 04.5	+13.27  	    3.9	 1	186.1	-17.8	a  	        	    1574
05 11 40.5	+13 55.5	+13.28  	    2.6	 1	188.4	-14.7	a  	        	    1575
05 20 14.5	+13 50.1	+13.29  	    4.2	 2	189.7	-13.1	b  	        	    1576
05 57 37.1	+13 13.0	+13.30  	    2.4	 1	195.0	 -5.6	a  	        	    1577
06 12 04.4	+13 46.7	+13.31  	    2.6	 1	196.2	 -2.2	a  	        	    1578
06 18 58.3	+13 36.2	+13.32  	    6.7	 1	197.2	 -0.9	a  	        	    1579
06 38 59.9	+13 24.6	+13.33  	    3.5	21	199.6	  3.4	be 	        	    1580
06 45 28.7	+13 25.7	+13.34  	    2.9	 2	200.3	  4.8	b  	        	    1581
07 06 13.8	+13 42.4	+13.35  	    2.2	 1	202.3	  9.4	a  	        	    1582
07 21 21.3	+13 04.3	+13.36  	    2.6	 1	204.5	 12.5	a  	        	    1583
08 14 43.9	+12 56.2	+13.37  	    6.0	 1	210.3	 24.2	a  	        	    1584
08 40 47.8	+13 14.8	+13.38  	   12.0	 1	212.9	 30.2	a  	3C207   	    1585
08 45 46.3	+13 31.7	+13.39  	    2.8	 1	213.2	 31.4	a  	        	    1586
09 01 41.3	+13 36.4	+13.40  	    2.1	22	215.0	 34.9	bl 	        	    1587
10 07 24.2	+12 45.8	+13.41  	    5.1	21	225.2	 49.1	be 	        	    1588
10 15 01.8	+13 01.9	+13.42  	    2.3	 1	226.1	 50.9	a  	        	    1589
11 29 19.8	+13 08.2	+13.43  	    2.8	 2	245.0	 66.2	b  	*       	    1590
11 36 50.1	+13 03.8	+13.44  	    3.5	 1	248.1	 67.6	a  	        	    1591
11 49 56.0	+12 43.6	+13.45  	   11.5	 1	254.9	 69.6	a  	3C267   	    1592
12 13 32.4	+13 07.3	+13.46  	    3.1	 1	268.7	 73.4	a  	        	    1593
12 25 04.9	+12 44.9	+13.47  	   19.0	 2	278.4	 74.4	b  	3C272.1*	    1594
13 30 18.2	+13 07.9	+13.48  	    2.3	 2	337.8	 73.3	b  	        	    1595
13 57 42.4	+13 20.4	+13.49  	    2.5	 1	354.5	 69.3	a  	        	    1596
13 59 10.1	+13 25.3	+13.50  	    2.7	 1	355.4	 69.1	a  	        	    1597
14 11 37.6	+13 11.6	+13.51  	    2.1	 2	  0.3	 66.6	b  	        	    1598
14 28 45.7	+12 55.6	+13.52  	    2.3	 1	  5.8	 63.2	a  	        	    1599
14 42 02.8	+13 28.6	+13.53  	    2.3	 1	 10.6	 60.8	a  	        	    1600
15 23 21.3	+13 34.6	+13.54  	    2.3	 1	 19.7	 52.1	a  	        	    1601
15 33 16.5	+13 30.2	+13.55  	    4.7	 1	 21.3	 49.9	a  	        	    1602
15 37 32.7	+13 41.8	+13.56  	    6.7	 1	 22.3	 49.1	a  	        	    1603
16 16 11.4	+13 01.1	+13.57  	    5.0	 1	 27.1	 40.3	a  	        	    1604
16 18 58.8	+13 36.7	+13.58  	    2.8	 2	 28.1	 39.9	b  	        	    1605
16 19 52.6	+13 33.2	+13.59  	    2.6	 1	 28.2	 39.7	a  	        	    1606
16 29 47.7	+13 40.4	+13.60  	    3.0	 1	 29.6	 37.5	a  	        	    1607
16 40 34.7	+13 07.1	+13.61  	    3.5	 1	 30.3	 34.9	a  	        	    1608
16 44 40.5	+12 58.8	+13.62  	    5.0	 1	 30.6	 33.9	a  	        	    1609
16 46 00.6	+13 14.1	+13.63  	    4.6	 2	 31.1	 33.7	b  	        	    1610
16 49 19.5	+13 13.4	+13.64  	    2.5	 2	 31.4	 33.0	b  	        	    1611
17 58 31.3	+13 26.3	+13.65  	    9.0	 1	 39.3	 17.7	a  	        	    1612
18 01 39.1	+13 47.8	+13.66  	    9.3	 1	 40.0	 17.2	a  	        	    1613
18 37 29.1	+13 28.0	+13.67  	    5.1	 1	 43.5	  9.1	a  	        	    1614
18 55 53.9	+13 16.2	+13.68  	    2.9	 2	 45.3	  5.0	b  	*       	    1615
19 02 54.1	+13 33.2	+13.69  	    3.9	 2	 46.3	  3.6	b  	*       	    1616
19 04 31.6	+13 29.2	+13.70  	    2.3	 1	 46.4	  3.3	a  	        	    1617
19 10 29.4	+14 00.8	+13.71  	    2.2	 1	 47.6	  2.2	a  	        	    1618
19 19 53.0	+13 55.2	+13.72  	    2.1	 2	 48.5	  0.2	b  	        	    1619
19 25 15.9	+13 54.8	+13.73  	    4.5	 1	 49.1	 -1.0	a  	        	    1620
19 33 01.6	+13 10.2	+13.74  	    3.4	 1	 49.4	 -3.0	a  	        	    1621
19 56 07.5	+13 23.4	+13.75  	    3.1	 1	 52.4	 -7.8	a  	        	    1622
20 17 54.3	+13 15.7	+13.76  	    2.8	 1	 55.0	-12.4	a  	        	    1623
20 38 24.4	+13 45.6	+13.77  	    2.0	 1	 58.3	-16.3	a  	        	    1624
20 51 11.6	+13 47.5	+13.78  	    2.2	 1	 60.2	-18.8	a  	        	    1625
21 02 00.6	+14 10.3	+13.79  	    3.2	 1	 62.1	-20.7	a  	        	    1626
21 03 36.1	+14 07.4	+13.80  	    3.5	 1	 62.3	-21.1	a  	        	    1627
21 44 55.2	+13 46.9	+13.81  	    2.9	21	 69.1	-29.0	be 	        	    1628
21 50 52.6	+14 01.5	+13.82  	    8.8	 2	 70.4	-29.9	b  	3C437.1*	    1629
22 15 08.2	+13 23.8	+13.83  	    4.9	 1	 74.9	-34.5	a  	        	    1630
22 49 44.2	+13 27.4	+13.84  	    2.2	 1	 83.1	-39.8	a  	        	    1631
22 54 19.2	+13 50.1	+13.85  	    4.7	22	 84.5	-40.1	bl 	        	    1632
23 10 54.1	+13 51.6	+13.86  	    2.4	 1	 89.0	-42.3	a  	        	    1633
23 12 32.3	+13 27.9	+13.87  	    2.7	21	 89.2	-42.8	be 	        	    1634
23 40 32.8	+13 33.0	+13.88  	    7.6	 1	 97.8	-45.8	a  	        	    1635
00 28 48.2	+14 55.8	+14.01  	    2.0	 2	114.8	-47.6	b  	        	    1636
00 52 44.6	+14 17.0	+14.02  	    2.5	 1	123.4	-48.6	a  	        	    1637
01 02 06.6	+14 43.4	+14.03  	    5.0	 2	126.8	-48.1	b  	        	    1638
01 03 17.0	+14 50.0	+14.04  	    3.7	 2	127.2	-47.9	b  	        	    1639
01 12 05.5	+14 48.5	+14.05  	    8.5	 1	130.4	-47.8	a  	        	    1640
01 29 55.8	+14 45.3	+14.06  	    2.7	 1	136.7	-47.1	a  	        	    1641
01 36 42.1	+14 31.9	+14.07  	    2.8	 1	139.1	-46.9	a  	        	    1642
02 42 13.4	+14 53.7	+14.08  	    2.1	 2	158.9	-40.1	b  	        	    1643
03 56 59.0	+14 43.9	+14.09  	    2.8	 2	175.8	-28.5	b  	        	    1644
03 59 00.6	+14 39.1	+14.10  	    6.7	 1	176.2	-28.2	a  	        	    1645
04 14 30.2	+14 16.8	+14.11  	    9.4	 1	179.3	-25.7	a  	        	    1646
04 21 58.0	+14 35.7	+14.12  	    2.5	 2	180.3	-24.1	b  	        	    1647
05 17 46.3	+14 06.5	+14.13  	    3.4	 1	189.1	-13.4	a  	        	    1648
05 19 30.6	+14 31.4	+14.14  	    3.3	 2	189.0	-12.8	b  	        	    1649
05 47 15.9	+14 47.1	+14.15  	    2.4	 2	192.3	 -7.0	b  	        	    1650
06 06 20.2	+14 36.9	+14.16  	    2.0	 1	194.8	 -3.1	a  	        	    1651
06 21 41.6	+14 32.2	+14.17  	   16.7	 1	196.6	  0.2	a  	3C158   	    1652
06 25 46.6	+14 40.4	+14.18  	    6.4	 1	197.0	  1.1	a  	        	    1653
06 33 01.6	+14 39.2	+14.19  	    2.2	 2	197.8	  2.7	b  	        	    1654
06 48 42.1	+14 41.4	+14.20  	    3.7	 1	199.5	  6.0	a  	        	    1655
07 14 05.2	+14 34.9	+14.21  	    7.5	 1	202.3	 11.5	a  	3C175.1 	    1656
07 20 24.3	+14 53.1	+14.22  	    2.7	 1	202.7	 13.0	a  	        	    1657
07 25 20.1	+14 18.1	+14.23  	    2.6	 2	203.8	 13.9	b  	        	    1658
07 28 10.5	+14 35.1	+14.24  	   12.4	 1	203.8	 14.6	a  	3C181   	    1659
08 01 34.7	+14 15.0	+14.25  	   15.3	 2	207.6	 21.8	b  	3C190*  	    1660
08 31 57.7	+13 51.9	+14.26  	    3.1	 1	211.3	 28.4	a  	        	    1661
08 34 48.7	+14 10.6	+14.27  	    9.3	 2	211.3	 29.2	b  	        	    1662
08 53 08.8	+13 52.6	+14.28  	   17.0	 1	213.7	 33.2	a  	3C208   	    1663
08 54 39.9	+14 08.1	+14.29  	    9.0	 1	213.6	 33.6	a  	3C208.1 	    1664
08 58 41.2	+14 11.2	+14.30  	   14.1	 1	214.0	 34.5	a  	3C212   	    1665
09 25 07.5	+14 44.4	+14.31  	    5.3	 1	216.5	 40.6	a  	        	    1666
09 42 13.4	+13 47.5	+14.32  	   19.6	 1	220.0	 44.0	a  	3C225   	    1667
09 45 29.1	+14 23.7	+14.33  	    2.7	 2	219.7	 45.0	b  	        	    1668
09 50 11.0	+14 19.6	+14.34  	   16.1	 1	220.4	 46.0	a  	3C228   	    1669
10 00 27.7	+14 03.1	+14.35  	    5.1	 1	222.3	 48.1	a  	        	    1670
10 09 56.1	+14 06.0	+14.36  	    3.5	 1	223.8	 50.2	a  	        	    1671
10 46 33.7	+13 47.5	+14.37  	    2.0	 1	231.2	 58.0	a  	        	    1672
10 54 33.8	+14 33.1	+14.38  	    3.2	 1	231.8	 60.0	a  	        	    1673
11 06 49.6	+13 55.3	+14.39  	    2.2	 2	236.1	 62.3	b  	        	    1674
11 07 37.9	+14 35.9	+14.40  	    3.0	 2	235.1	 62.8	b  	        	    1675
11 20 27.2	+14 18.7	+14.41  	    3.2	 1	239.5	 65.2	a  	*       	    1676
11 35 20.3	+14 39.5	+14.42  	    2.4	 1	244.2	 68.3	a  	        	    1677
11 35 58.9	+13 52.6	+14.43  	    2.0	 2	246.1	 68.0	b  	        	    1678
11 48 53.2	+14 04.1	+14.44  	    2.8	21	251.6	 70.4	be 	        	    1679
